物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント,space_openness_score,seongsu_design_score,night_business_score,parking_destination_score,investment_reality_score,fruit_cafe_business_score,seongsu_fit_score,seongsu_fit_stars,seongsu_rank,seongsu_fit_type,seongsu_fit_comment
貸店舗・事務所(一部) 高松市 国分寺町福家 (挿頭丘駅) の貸店舗・事務所(一部),香川県高松市国分寺町福家,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-68955a821363053550874c30/,34.2790659,133.972223,33 万円,330000.0,108.27㎡,108.27,32.75坪,32.75,10076.0,可,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,33,1050,495000.0,1500000.0,57692.0,55.0,55.0,82.0,14410000,17,D,多客数が必須 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,500,000円、必要日客数55人が目安。",78,75,53,65,75,17.0,66.6,★★★☆☆,26,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★☆☆。坪数は約32.8坪で、大きな突出条件は少ないが、標準的な検討対象。。
ＭＮ店舗1Ｆ【香川町川東】,香川県高松市香川町川東上1764番地,テナント香川,https://www.tenantkagawa.com/article/search/00002548,,,"121,000円（税込）",121000.0,168m 2 （50.82坪）,168.0,,50.82,2381.0,可,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,56,1250,371000.0,1374074.0,52849.0,42.0,42.0,76.0,33541200,5,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資が重い / 飲食可 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,374,074円、必要日客数42人が目安。",83,75,53,65,65,5.0,66.4,★★★☆☆,27,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★☆☆。坪数は約50.8坪で、空間の余白・開放感を作りやすい。
漆原テナント・事務所 1階,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,34.2664945,134.0255298,8万円,80000.0,85.20㎡,85.2,,25.77,3104.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外生活圏カフェ,26,1050,240000.0,727273.0,27972.0,27.0,27.0,40.0,11340120,5,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商727,273円、必要日客数27人が目安。",66,77,53,65,100,5.0,65.0,★★★☆☆,28,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★☆☆。坪数は約25.8坪で、大きな突出条件は少ないが、標準的な検討対象。。
香川町浅野貸店舗 1階店舗,香川県高松市香川町浅野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,34.2587691,134.0425443,8万円,80000.0,70.00㎡,70.0,,21.18,3778.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外生活圏カフェ,21,1050,240000.0,727273.0,27972.0,27.0,27.0,40.0,9317000,5,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商727,273円、必要日客数27人が目安。",66,77,53,65,100,5.0,65.0,★★★☆☆,29,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★☆☆。坪数は約21.2坪で、大きな突出条件は少ないが、標準的な検討対象。。
高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,34.2985968,134.0836537,25万円,250000.0,182.38㎡,182.38,,55.17,4531.0,可,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61,1250,500000.0,1851852.0,71225.0,57.0,57.0,103.0,36412168,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,851,852円、必要日客数57人が目安。",83,75,53,65,50,0.0,64.8,★★★☆☆,30,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約55.2坪で、空間の余白・開放感を作りやすい、投資負担や家賃負担には注意が必要。
貸店舗（一括） 高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,,,25 万円,250000.0,182.38㎡,182.38,55.16坪,55.16,4532.0,可,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61,1250,500000.0,1851852.0,71225.0,57.0,57.0,103.0,36405600,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,851,852円、必要日客数57人が目安。",83,75,53,65,50,0.0,64.8,★★★☆☆,31,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約55.2坪で、空間の余白・開放感を作りやすい、投資負担や家賃負担には注意が必要。
貸店舗（一部） 錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,34.3475208,134.044579,16.5 万円,165000.0,68.00㎡,68.0,20.56坪,20.56,8025.0,可,不明,中規模,店舗系,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,21,900,325000.0,855263.0,32895.0,37.0,37.0,51.0,8224000,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商855,263円、必要日客数37人が目安。",66,77,45,50,95,50.0,64.5,★★★☆☆,32,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約20.6坪で、夜営業の集客導線は弱め。
錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,34.3475208,134.044579,16.5万円,165000.0,68.00㎡,68.0,,20.57,8021.0,可,不明,中規模,店舗系,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,21,900,325000.0,855263.0,32895.0,37.0,37.0,51.0,8228000,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商855,263円、必要日客数37人が目安。",66,77,45,50,95,50.0,64.5,★★★☆☆,33,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約20.6坪で、夜営業の集客導線は弱め。
ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/,34.3428604,134.0487343,16.5万円,165000.0,61.62㎡,61.62,,18.64,8852.0,可,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,17,1400,265000.0,854839.0,32878.0,23.0,23.0,42.0,10997630,59,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商854,839円、必要日客数23人が目安。",46,55,100,55,95,59.0,64.1,★★★☆☆,34,小型ミニマム実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約18.6坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/,34.3428604,134.0487343,16.5 万円,165000.0,61.62㎡,61.62,18.63坪,18.63,8857.0,可,中心街,小規模,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,17,1400,265000.0,854839.0,32878.0,23.0,23.0,42.0,10991700,59,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商854,839円、必要日客数23人が目安。",46,55,100,55,95,59.0,64.1,★★★☆☆,35,小型ミニマム実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約18.6坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
高松市 亀岡町 (栗林公園北口駅) の貸店舗・事務所(一部),香川県高松市亀岡町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640e8a8741708e129e914078/,34.3369293,134.0412259,20万円,200000.0,99.56㎡,99.56,,30.12,6641.0,不可,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,30,900,360000.0,947368.0,36437.0,40.0,40.0,57.0,12046760,0,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商947,368円、必要日客数40人が目安。",78,75,45,50,95,0.0,63.8,★★★☆☆,36,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約30.1坪で、夜営業の集客導線は弱め。
プレシャス番町ビル（第一讃機ビル） 2F南東コスモス,香川県高松市番町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8a4e80cccef06e5316d54/,34.3423736,134.0417194,27.5万円,275000.0,169.00㎡,169.0,,51.12,5379.0,不可,準中心街,大型,不明,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,56,1250,525000.0,1944444.0,74786.0,60.0,60.0,108.0,33740852,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食不可のため原則対象外 / 上階・地下で集客難度あり / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,944,444円、必要日客数60人が目安。",83,67,65,55,50,0.0,63.6,★★★☆☆,37,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約51.1坪で、空間の余白・開放感を作りやすい、投資負担や家賃負担には注意が必要。
貸店舗（一部） ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/,34.3178937,133.8417036,220 万円,2200000.0,"1,038.74㎡",1038.74,314.21坪,314.21,7002.0,可,中心街,大型,店舗系,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,346,1250,3410000.0,12629630.0,485755.0,389.0,389.0,699.0,207378600,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 1階・路面想定 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商12,629,630円、必要日客数389人が目安。",63,72,100,55,20,0.0,63.3,★★★☆☆,38,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約314.2坪で、夜カフェ・夜パフェ需要との相性が高い、投資負担や家賃負担には注意が必要。
ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/,34.3412277,134.051584,220万円,2200000.0,"1,038.74㎡",1038.74,,314.22,7001.0,可,中心街,大型,不明,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,346,1250,3410000.0,12629630.0,485755.0,389.0,389.0,699.0,207384449,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 1階・路面想定 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商12,629,630円、必要日客数389人が目安。",63,72,100,55,20,0.0,63.3,★★★☆☆,39,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約314.2坪で、夜カフェ・夜パフェ需要との相性が高い、投資負担や家賃負担には注意が必要。
大山テナントビル【中央町】1F,香川県高松市中央町-4-17,テナント香川,https://www.tenantkagawa.com/article/search/00002641,34.3364526,134.0452022,"126,500円（税込）",126500.0,65m 2 （19.66坪）,65.0,,19.66,6434.0,可,準中心街,小規模,店舗系,1階・路面想定,不明,準中心街・生活圏型,,要個別検討,18,1000,226500.0,647143.0,24890.0,25.0,25.0,37.0,9830000,70,B,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"準中心街・生活圏型。必要月商647,143円、必要日客数25人が目安。",46,67,65,55,100,70.0,62.2,★★★☆☆,40,小型ミニマム実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約19.7坪で、面積または席密度の面で余白確保に課題がある。
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,34.2718437,134.0304778,8.5万円,85000.0,71.01㎡,71.01,,21.48,3957.0,不可,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,21,1050,245000.0,742424.0,28555.0,27.0,27.0,41.0,9451431,0,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商742,424円、必要日客数27人が目安。",66,65,53,65,100,0.0,61.4,★★★☆☆,41,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約21.5坪で、大きな突出条件は少ないが、標準的な検討対象。。
シャトー古馬場　２階 2階,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055706b417/,34.3425721,134.0518077,16.5万円,165000.0,65.91㎡,65.91,,19.94,8276.0,可,中心街,小規模,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,18,1600,265000.0,913793.0,35146.0,22.0,22.0,44.0,12461110,51,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商913,793円、必要日客数22人が目安。",46,47,100,55,95,51.0,61.3,★★★☆☆,42,小型ミニマム実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約19.9坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） シャトー古馬場　２階 2階,香川県高松市古馬場町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977d424941055706b417/,34.3425721,134.0518077,16.5 万円,165000.0,65.91㎡,65.91,19.93坪,19.93,8279.0,可,中心街,小規模,店舗系,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,18,1600,265000.0,913793.0,35146.0,22.0,22.0,44.0,12456250,51,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商913,793円、必要日客数22人が目安。",46,47,100,55,95,51.0,61.3,★★★☆☆,43,小型ミニマム実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約19.9坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
新井ビル 1階,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-55588e3142494231b8305814/,34.2994211,134.0156685,15.07万円,150700.0,98.41㎡,98.41,,29.77,5062.0,不可,不明,中規模,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,30,900,310700.0,817632.0,31447.0,35.0,35.0,49.0,11907610,2,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商817,632円、必要日客数35人が目安。",66,77,45,50,95,2.0,61.1,★★★☆☆,44,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約29.8坪で、夜営業の集客導線は弱め。
貸店舗（一部） ソレイユ第一ビル 202,香川県高松市亀井町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-555897fe42494105814fab17/,34.3400205,134.0501426,53.96 万円,539600.0,324.36㎡,324.36,98.11坪,98.11,5500.0,可,中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,108,1250,836380.0,3097704.0,119142.0,95.0,95.0,172.0,64752600,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,097,704円、必要日客数95人が目安。",63,60,100,55,20,0.0,60.0,★★★☆☆,45,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約98.1坪で、夜カフェ・夜パフェ需要との相性が高い、投資負担や家賃負担には注意が必要。
貸店舗（一部） ソレイユ第一ビル 202,香川県高松市亀井町,植村不動産,https://www.uemura-re.jp/kasi-tenpo/detail-682727f87ecab2371a64cb05/,34.3400205,134.0501426,53.96 万円,539600.0,324.36㎡,324.36,98.11坪,98.11,5500.0,可,中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,108,1250,836380.0,3097704.0,119142.0,95.0,95.0,172.0,64752600,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,097,704円、必要日客数95人が目安。",63,60,100,55,20,0.0,60.0,★★★☆☆,46,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約98.1坪で、夜カフェ・夜パフェ需要との相性が高い、投資負担や家賃負担には注意が必要。
ソレイユ第一ビル 202,香川県高松市亀井町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897fe42494105814fab17/,34.3401075,134.0481231,53.96万円,539600.0,324.36㎡,324.36,,98.12,5499.0,可,中心街,大型,不明,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,108,1250,836380.0,3097704.0,119142.0,95.0,95.0,172.0,64758476,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,097,704円、必要日客数95人が目安。",63,60,100,55,20,0.0,60.0,★★★☆☆,47,標準テナント実装型,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★★☆☆。坪数は約98.1坪で、夜カフェ・夜パフェ需要との相性が高い、投資負担や家賃負担には注意が必要。
貸店舗（一部） じゃこ丸ビル ５階　南,香川県高松市西の丸町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-681acd9ced5168205e52f3c4/,34.3488268,134.0484856,22 万円,220000.0,92.00㎡,92.0,27.82坪,27.82,7908.0,可,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,28,900,380000.0,1000000.0,38462.0,43.0,43.0,60.0,11128000,42,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可,"低固定費・小商圏型。必要月商1,000,000円、必要日客数43人が目安。",66,65,45,50,85,42.0,59.9,★★☆☆☆,48,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約27.8坪で、夜営業の集客導線は弱め。
じゃこ丸ビル ５階　南,香川県高松市西の丸町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-681acd9ced5168205e52f3c4/,34.3493418,134.0469457,22万円,220000.0,92.00㎡,92.0,,27.83,7905.0,可,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,28,900,380000.0,1000000.0,38462.0,43.0,43.0,60.0,11132000,42,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可,"低固定費・小商圏型。必要月商1,000,000円、必要日客数43人が目安。",66,65,45,50,85,42.0,59.9,★★☆☆☆,49,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約27.8坪で、夜営業の集客導線は弱め。
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,34.2718437,134.0304778,8.8万円,88000.0,63.44㎡,63.44,,19.19,4586.0,可,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,900,188000.0,494737.0,19028.0,21.0,21.0,30.0,7676240,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商494,737円、必要日客数21人が目安。",46,55,53,65,100,87.0,59.2,★★☆☆☆,50,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約19.2坪で、面積または席密度の面で余白確保に課題がある。
貸店舗（一部） 高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,34.2723454,134.034955,8.8 万円,88000.0,63.44㎡,63.44,19.19坪,19.19,4586.0,可,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,900,188000.0,494737.0,19028.0,21.0,21.0,30.0,7676000,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商494,737円、必要日客数21人が目安。",46,55,53,65,100,87.0,59.2,★★☆☆☆,51,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約19.2坪で、面積または席密度の面で余白確保に課題がある。
