物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
ヘンミビル 205,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a0e8e5ee5469042fbdbf228/,34.3425721,134.0518077,9.9万円,99000.0,48.84㎡,48.84,,14.77,6701.0,確認必要,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,13.0,1400,199000.0,641935.0,24690.0,18.0,18.0,32.0,8716719.0,52,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商641,935円、必要日客数18人が目安。"
高松市 太田上町 (太田駅) の貸店舗（一部）,香川県高松市太田上町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662dca5ca7349f768c4d4d6a/,34.2970932,134.042515,10万円,100000.0,69.95㎡,69.95,,21.16,4726.0,確認必要,準中心街,中規模,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,21.0,1000,260000.0,742857.0,28571.0,29.0,29.0,43.0,10579938.0,47,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商742,857円、必要日客数29人が目安。"
高松市 塩上町 (瓦町駅) の貸店舗（一部）,香川県高松市塩上町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-676a154920ba5422ebdb61c8/,34.3359149,134.0508803,10万円,100000.0,63.61㎡,63.61,,19.24,5197.0,確認必要,不明,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17.0,900,200000.0,526316.0,20243.0,22.0,22.0,31.0,7696810.0,57,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商526,316円、必要日客数22人が目安。"
ＹＩビル 2階,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6836b1a3edabdc2b84828858/,34.3451724,134.0528471,10万円,100000.0,39.35㎡,39.35,,11.9,8401.0,確認必要,中心街,極小,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,11.0,1600,180000.0,620690.0,23873.0,15.0,15.0,30.0,7439610.0,64,C,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商620,690円、必要日客数15人が目安。"
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63e5b0fba4cf3a687b612ebf/,34.2455044,134.0300841,11万円,110000.0,103.78㎡,103.78,,31.39,3504.0,確認必要,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,31.0,1050,270000.0,818182.0,31469.0,30.0,30.0,45.0,13813118.0,34,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商818,182円、必要日客数30人が目安。"
高松市 郷東町 (香西駅) の貸店舗・事務所(一部),香川県高松市郷東町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6625ffa21c76787b82940ef5/,34.3473129,134.0147595,11万円,110000.0,132.52㎡,132.52,,40.09,2744.0,確認必要,郊外,大型,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,44.0,1050,360000.0,1090909.0,41958.0,40.0,40.0,60.0,17638412.0,12,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商1,090,909円、必要日客数40人が目安。"
津田ビル １階,香川県高松市中央町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6606881ee7d24604c2711195/,34.3364526,134.0452022,11万円,110000.0,74.93㎡,74.93,,22.67,4853.0,確認必要,準中心街,中規模,不明,1階・路面想定,不明,準中心街・生活圏型,,要個別検討,23.0,1000,270000.0,771429.0,29670.0,30.0,30.0,45.0,11333163.0,55,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定 / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商771,429円、必要日客数30人が目安。"
ソリッド 4D,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60236530f54ec10a84ccca1f/,34.3425721,134.0518077,11万円,110000.0,42.08㎡,42.08,,12.73,8642.0,可,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,11.0,1400,210000.0,677419.0,26055.0,19.0,19.0,33.0,7510228.0,77,B,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商677,419円、必要日客数19人が目安。"
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-646306e9202916104aaa82a9/,34.3246462,134.0457846,12万円,120000.0,85.95㎡,85.95,,26.0,4615.0,確認必要,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,26.0,900,280000.0,736842.0,28340.0,31.0,31.0,44.0,10399950.0,47,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商736,842円、必要日客数31人が目安。"
富士ビル 地下１階,香川県高松市常磐町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662085d6af472b3b825c1d7d/,34.3387776,134.0510854,12.1万円,121000.0,93.00㎡,93.0,,28.13,4301.0,確認必要,中心街,中規模,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,28.0,1050,281000.0,878125.0,33774.0,32.0,32.0,51.0,13362938.0,35,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商878,125円、必要日客数32人が目安。"
西内町貸事務所　１階 1階,香川県高松市西内町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-630eb9d1635f952635393cad/,34.3475605,134.0469994,12.75万円,127500.0,53.21㎡,53.21,,16.1,7921.0,確認必要,中心街,小規模,事務所系,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,14.0,1400,227500.0,733871.0,28226.0,20.0,20.0,36.0,9496655.0,60,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商733,871円、必要日客数20人が目安。"
高松市 屋島西町 (屋島駅) の貸店舗・事務所(一部),香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897844249423ff8c68216/,34.3603444,134.0966033,13万円,130000.0,133.70㎡,133.7,,40.44,3214.0,確認必要,郊外,大型,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,44.0,1050,380000.0,1151515.0,44289.0,42.0,42.0,63.0,17795470.0,12,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商1,151,515円、必要日客数42人が目安。"
高松市 扇町２丁目 (昭和町駅) の貸店舗（一部）,香川県高松市扇町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67f20f823d177354830cb311/,34.3445597,134.0357197,13.2万円,132000.0,135.25㎡,135.25,,40.91,3226.0,可,準中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,45.0,1250,382000.0,1414815.0,54416.0,44.0,44.0,78.0,27002664.0,10,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,414,815円、必要日客数44人が目安。"
ＡＫビル片原町Ⅱ　２階　北西 （２０２号）,香川県高松市片原町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684a89ea243a5b1d0deb1257/,34.3458826,134.0543651,13.2万円,132000.0,69.48㎡,69.48,,21.02,6280.0,可,中心街,中規模,不明,上階・地下想定,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,21.0,1100,292000.0,858824.0,33032.0,30.0,30.0,51.0,10719028.0,34,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商858,824円、必要日客数30人が目安。"
高松市 天神前 (栗林公園北口駅) の貸店舗（一部）,香川県高松市天神前,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-642fa6da77270d5cba271843/,34.3388334,134.045818,14.3万円,143000.0,56.00㎡,56.0,,16.94,8442.0,確認必要,不明,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,15.0,900,243000.0,639474.0,24595.0,27.0,27.0,38.0,6776000.0,57,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商639,474円、必要日客数27人が目安。"
西村ジョイ屋島店　１階北ＥＶ前 1階,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67330cb3c7b82905187c793b/,34.3603444,134.0966033,14.971万円,149710.0,45.00㎡,45.0,,13.61,10998.0,確認必要,郊外,小規模,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,12.0,900,249710.0,657132.0,25274.0,28.0,28.0,39.0,5445000.0,60,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商657,132円、必要日客数28人が目安。"
大内ビル 1階,香川県高松市今新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6833f5d6c196ea30e30ea1ee/,34.3439421,134.0526969,15万円,150000.0,69.03㎡,69.03,,20.88,7183.0,可,中心街,中規模,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,21.0,1050,310000.0,968750.0,37260.0,35.0,35.0,57.0,9918748.0,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"中心街・高回転型。必要月商968,750円、必要日客数35人が目安。"
高松市 上福岡町 (花園駅) の貸店舗・事務所(一部),香川県高松市上福岡町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a928cd63cad3855bc8266/,34.3302357,134.0637986,15万円,150000.0,157.80㎡,157.8,,47.73,3142.0,確認必要,準中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,53.0,1250,400000.0,1481481.0,56980.0,46.0,46.0,82.0,31504772.0,0,D,多客数が必須 / 必要月商150万円以下 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,481,481円、必要日客数46人が目安。"
高松市 鶴屋町 (片原町駅) の貸店舗（一部）,香川県高松市鶴屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a20da03cb8ef797e0780d96/,34.3467972,134.0549327,15万円,150000.0,98.59㎡,98.59,,29.82,5030.0,確認必要,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,30.0,900,310000.0,815789.0,31377.0,35.0,35.0,49.0,11929390.0,39,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商815,789円、必要日客数35人が目安。"
新井ビル 1階,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-55588e3142494231b8305814/,34.2994211,134.0156685,15.07万円,150700.0,98.41㎡,98.41,,29.77,5062.0,不可,不明,中規模,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,30.0,900,310700.0,817632.0,31447.0,35.0,35.0,49.0,11907610.0,2,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商817,632円、必要日客数35人が目安。"
高松プラザビル ６０３,香川県高松市中野町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-673ead7ac3c8d520f9d36c63/,34.3340385,134.0434882,15.2295万円,152295.0,61.04㎡,61.04,,18.46,8248.0,確認必要,不明,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17.0,900,252295.0,663934.0,25536.0,28.0,28.0,40.0,7385840.0,57,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商663,934円、必要日客数28人が目安。"
高松市 新北町 (昭和町駅) の貸店舗・事務所(一部),香川県高松市新北町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa256962487ccb19b993/,34.3529843,134.0256404,15.4万円,154000.0,71.87㎡,71.87,,21.74,7083.0,不可,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,22.0,900,314000.0,826316.0,31781.0,35.0,35.0,49.0,8696270.0,0,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商826,316円、必要日客数35人が目安。"
プレシャス番町ビル 4F,香川県高松市番町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68db7f1ba22de730730349b5/,34.3423736,134.0417194,15.8万円,158000.0,86.88㎡,86.88,,26.28,6012.0,確認必要,準中心街,中規模,不明,上階・地下想定,不明,準中心街・生活圏型,,要個別検討,26.0,1000,318000.0,908571.0,34945.0,35.0,35.0,52.0,13140600.0,19,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商908,571円、必要日客数35人が目安。"
ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/,34.3428604,134.0487343,16.5万円,165000.0,61.62㎡,61.62,,18.64,8852.0,可,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,17.0,1400,265000.0,854839.0,32878.0,23.0,23.0,42.0,10997630.0,59,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商854,839円、必要日客数23人が目安。"
京都興産ビル ５F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/,34.3412277,134.051584,16.5万円,165000.0,116.86㎡,116.86,,35.35,4668.0,可,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,39.0,1100,415000.0,1220588.0,46946.0,43.0,43.0,73.0,18028577.0,32,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,220,588円、必要日客数43人が目安。"
下田井町貸店舗事務所 1階,香川県高松市下田井町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f1b59cc430a27e9e0ec70f/,34.293847,134.0928756,16.5万円,165000.0,105.56㎡,105.56,,31.93,5167.0,可,不明,中規模,店舗系,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,32.0,900,325000.0,855263.0,32895.0,37.0,37.0,51.0,12772760.0,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商855,263円、必要日客数37人が目安。"
錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,34.3475208,134.044579,16.5万円,165000.0,68.00㎡,68.0,,20.57,8021.0,可,不明,中規模,店舗系,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,21.0,900,325000.0,855263.0,32895.0,37.0,37.0,51.0,8228000.0,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商855,263円、必要日客数37人が目安。"
プレシャス番町ビル（第一讃機ビル） 4 F北東ｶｰﾈｰｼｮﾝ,香川県高松市番町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8b7d3f47768688d0d5cfc/,34.3423736,134.0417194,16.5万円,165000.0,86.88㎡,86.88,,26.28,6278.0,確認必要,準中心街,中規模,不明,不明,不明,準中心街・生活圏型,,要個別検討,26.0,1000,325000.0,928571.0,35714.0,36.0,36.0,54.0,13140600.0,27,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商928,571円、必要日客数36人が目安。"
シャトー古馬場　２階 2階,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055706b417/,34.3425721,134.0518077,16.5万円,165000.0,65.91㎡,65.91,,19.94,8276.0,可,中心街,小規模,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,18.0,1600,265000.0,913793.0,35146.0,22.0,22.0,44.0,12461110.0,51,C,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商913,793円、必要日客数22人が目安。"
高松市 屋島西町 (春日川駅) の貸店舗（一括）,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67ba76203e48c91c26797ad3/,34.3603444,134.0966033,17万円,170000.0,132.48㎡,132.48,,40.08,4242.0,可,郊外,大型,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,44.0,1050,420000.0,1272727.0,48951.0,47.0,47.0,70.0,17633088.0,27,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商1,272,727円、必要日客数47人が目安。"
高松市 番町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市番町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6745221d019e3c41c94e53fb/,34.34249,134.0464464,18.15万円,181500.0,38.98㎡,38.98,,11.79,15393.0,確認必要,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,11.0,1000,263175.0,751929.0,28920.0,29.0,29.0,43.0,5895725.0,57,C,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商751,929円、必要日客数29人が目安。"
向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/,34.3412277,134.051584,19.8万円,198000.0,75.60㎡,75.6,,22.87,8658.0,確認必要,中心街,中規模,不明,上階・地下想定,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,23.0,1100,358000.0,1052941.0,40498.0,37.0,37.0,63.0,11663190.0,19,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商1,052,941円、必要日客数37人が目安。"
Ｗｉｔｈビル 1階,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69aa7d5de563002bb48f101b/,34.3399504,134.0514047,19.8万円,198000.0,81.70㎡,81.7,,24.71,8012.0,確認必要,中心街,中規模,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,25.0,1050,358000.0,1118750.0,43029.0,41.0,41.0,66.0,11739269.0,35,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高回転型。必要月商1,118,750円、必要日客数41人が目安。"
香西貸店舗 1階,香川県高松市香西東町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c62452d9732ec08c6b7f9a3/,34.3403451,134.007635,19.8万円,198000.0,187.74㎡,187.74,,56.79,3486.0,確認必要,郊外,大型,店舗系,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,62.0,1250,448000.0,1659259.0,63818.0,51.0,51.0,92.0,37482292.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,659,259円、必要日客数51人が目安。"
アビタシオンＮＹＫ 1F南,香川県高松市香西南町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ecf6e6730c1427032fc12e9/,34.3394484,134.0002361,19.8万円,198000.0,182.25㎡,182.25,,55.13,3591.0,確認必要,郊外,大型,不明,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61.0,1250,448000.0,1659259.0,63818.0,51.0,51.0,92.0,36386214.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,659,259円、必要日客数51人が目安。"
高松市 亀岡町 (栗林公園北口駅) の貸店舗・事務所(一部),香川県高松市亀岡町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640e8a8741708e129e914078/,34.3369293,134.0412259,20万円,200000.0,99.56㎡,99.56,,30.12,6641.0,不可,不明,中規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,30.0,900,360000.0,947368.0,36437.0,40.0,40.0,57.0,12046760.0,0,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商947,368円、必要日客数40人が目安。"
ガーデンコート高松 401,香川県高松市大工町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c822221d032a71c6cedffdc/,34.3445496,134.0527521,20.9万円,209000.0,124.89㎡,124.89,,37.78,5532.0,確認必要,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,42.0,1100,459000.0,1350000.0,51923.0,47.0,47.0,80.0,19267405.0,17,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,350,000円、必要日客数47人が目安。"
ガーデンコート高松 501,香川県高松市大工町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60bdd67067528231e3404a78/,34.3445496,134.0527521,20.9万円,209000.0,123.09㎡,123.09,,37.23,5613.0,確認必要,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,41.0,1100,459000.0,1350000.0,51923.0,47.0,47.0,80.0,18989710.0,17,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,350,000円、必要日客数47人が目安。"
京都興産ビル 3F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/,34.3412277,134.051584,22万円,220000.0,116.86㎡,116.86,,35.35,6223.0,可,中心街,大型,不明,上階・地下想定,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,39.0,1100,470000.0,1382353.0,53167.0,48.0,48.0,82.0,18028577.0,0,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 上階・地下で集客難度あり / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,382,353円、必要日客数48人が目安。"
