物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
じゃこ丸ビル ５階　南,香川県高松市西の丸町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-681acd9ced5168205e52f3c4/,34.3493418,134.0469457,22万円,220000.0,92.00㎡,92.0,,27.83,7905.0,可,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,28.0,900,380000.0,1000000.0,38462.0,43.0,43.0,60.0,11132000.0,42,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可,"低固定費・小商圏型。必要月商1,000,000円、必要日客数43人が目安。"
パールコート 1階,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e1f4f32b1cfe70dd417739/,34.3451724,134.0528471,22万円,220000.0,124.58㎡,124.58,,37.69,5838.0,可,中心街,大型,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41.0,1050,470000.0,1468750.0,56490.0,54.0,54.0,86.0,17900589.0,10,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,468,750円、必要日客数54人が目安。"
高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68959441674fe57902cecc97/,34.3451724,134.0528471,22万円,220000.0,124.58㎡,124.58,,37.69,5838.0,可,中心街,大型,店舗系,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,41.0,1100,470000.0,1382353.0,53167.0,48.0,48.0,82.0,19219580.0,2,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 中心街でも客数ハードル高め / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,382,353円、必要日客数48人が目安。"
セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ３０２,香川県高松市中新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd615146490136a2bcc3/,34.3370423,134.0477376,23.5543万円,235543.0,74.54㎡,74.54,,22.55,10446.0,確認必要,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,23.0,900,395543.0,1040903.0,40035.0,44.0,44.0,62.0,9019340.0,27,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商1,040,903円、必要日客数44人が目安。"
セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ２０２,香川県高松市中新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e6649ea1dfc1/,34.3370423,134.0477376,23.5543万円,235543.0,74.54㎡,74.54,,22.55,10446.0,確認必要,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,23.0,900,395543.0,1040903.0,40035.0,44.0,44.0,62.0,9019340.0,27,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商1,040,903円、必要日客数44人が目安。"
高松市 東山崎町 (水田駅) の貸店舗・事務所(一括),香川県高松市東山崎町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ce350d0e5a69c2656af61c7/,34.3078228,134.0959696,24.2万円,242000.0,141.60㎡,141.6,,42.83,5650.0,確認必要,郊外,大型,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,47.0,1050,492000.0,1490909.0,57343.0,55.0,55.0,82.0,18846960.0,0,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商1,490,909円、必要日客数55人が目安。"
高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,34.2985968,134.0836537,25万円,250000.0,182.38㎡,182.38,,55.17,4531.0,可,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61.0,1250,500000.0,1851852.0,71225.0,57.0,57.0,103.0,36412168.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,851,852円、必要日客数57人が目安。"
ＡＫビルⅩⅢ　１階 1階,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a0eb8f8bda945109354afbb/,34.3451724,134.0528471,25.3万円,253000.0,76.00㎡,76.0,,22.99,11005.0,確認必要,中心街,中規模,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,23.0,1050,413000.0,1290625.0,49639.0,47.0,47.0,76.0,10920250.0,35,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高回転型。必要月商1,290,625円、必要日客数47人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 １Ｆ,香川県高松市塩屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68d9f87b7f54e611de549e33/,34.342155,134.0550633,26.0656万円,260656.0,97.93㎡,97.93,,29.62,8799.0,確認必要,中心街,中規模,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,30.0,1100,420656.0,1237224.0,47586.0,43.0,43.0,74.0,15108151.0,17,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要,"中心街・高回転型。必要月商1,237,224円、必要日客数43人が目安。"
高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/,34.3428604,134.0487343,26.4万円,264000.0,124.23㎡,124.23,,37.58,7025.0,可,中心街,大型,店舗系,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,41.0,1100,514000.0,1511765.0,58145.0,53.0,53.0,90.0,19165584.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,511,765円、必要日客数53人が目安。"
高松市 国分寺町新居 (端岡駅) の貸店舗・事務所(一括),香川県高松市国分寺町新居,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a07ab7dce03c2ec06377e02/,34.3150123,133.9666553,27.5万円,275000.0,167.55㎡,167.55,,50.68,5426.0,確認必要,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,56.0,1250,525000.0,1944444.0,74786.0,60.0,60.0,108.0,33451358.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,944,444円、必要日客数60人が目安。"
プレシャス番町ビル（第一讃機ビル） 2F南東コスモス,香川県高松市番町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8a4e80cccef06e5316d54/,34.3423736,134.0417194,27.5万円,275000.0,169.00㎡,169.0,,51.12,5379.0,不可,準中心街,大型,不明,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,56.0,1250,525000.0,1944444.0,74786.0,60.0,60.0,108.0,33740852.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食不可のため原則対象外 / 上階・地下で集客難度あり / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,944,444円、必要日客数60人が目安。"
巧匠ビル　１・２階,香川県高松市今新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-660e5dbfedc6e56a05971a7b/,34.3439421,134.0526969,28万円,280000.0,235.74㎡,235.74,,71.31,3926.0,確認必要,中心街,大型,不明,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,78.0,1250,530000.0,1962963.0,75499.0,60.0,60.0,109.0,47065492.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 上階・地下で集客難度あり / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,962,963円、必要日客数60人が目安。"
オフィスビルいずみ東１階 1階,香川県高松市上天神町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653f4bd6e89777535faced84/,34.3115266,134.0391502,29.7万円,297000.0,176.00㎡,176.0,,53.24,5579.0,確認必要,準中心街,大型,事務所系,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,59.0,1250,547000.0,2025926.0,77920.0,62.0,62.0,112.0,35138402.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,025,926円、必要日客数62人が目安。"
高松市 国分寺町福家 (挿頭丘駅) の貸店舗・事務所(一部),香川県高松市国分寺町福家,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68955a821363053550874c30/,34.2790659,133.972223,33万円,330000.0,108.27㎡,108.27,,32.75,10076.0,可,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,33.0,1050,495000.0,1500000.0,57692.0,55.0,55.0,82.0,14410738.0,17,D,多客数が必須 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,500,000円、必要日客数55人が目安。"
ガーデンコート高松 2F,香川県高松市大工町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63e7433dd93d1c3663901541/,34.3445496,134.0527521,33万円,330000.0,199.51㎡,199.51,,60.35,5468.0,可,中心街,大型,不明,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,66.0,1250,580000.0,2148148.0,82621.0,66.0,66.0,119.0,39832173.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可 / 上階・地下で集客難度あり / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,148,148円、必要日客数66人が目安。"
エーワン藤塚ビル　１階駐車場・倉庫　２階・３階事務所,香川県高松市藤塚町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977b424941747cdcc717/,34.3339638,134.0508466,33万円,330000.0,223.89㎡,223.89,,67.73,4873.0,確認必要,準中心街,大型,倉庫・工場系,1階・路面想定,あり,大型投資・高売上必須型,,大型リノベ・複合目的型カフェ,74.0,1300,580000.0,2148148.0,82621.0,64.0,64.0,114.0,47408709.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,148,148円、必要日客数64人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ５Ｆ,香川県高松市塩屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e65d5a95dbcb/,34.342155,134.0550633,33.1485万円,331485.0,132.85㎡,132.85,,40.19,8249.0,確認必要,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,44.0,1100,581485.0,1710250.0,65779.0,60.0,60.0,102.0,20495434.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可否確認必要 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,710,250円、必要日客数60人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ４Ｆ,香川県高松市塩屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e665070e0af6/,34.342155,134.0550633,33.1485万円,331485.0,132.85㎡,132.85,,40.19,8249.0,確認必要,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,44.0,1100,581485.0,1710250.0,65779.0,60.0,60.0,102.0,20495434.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可否確認必要 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,710,250円、必要日客数60人が目安。"
高松市 林町 (伏石駅) の貸店舗（一括）,香川県高松市林町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67a47b12991eeb6eed4aac18/,34.3005438,134.069878,35万円,350000.0,223.90㎡,223.9,,67.73,5168.0,確認必要,郊外,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,75.0,1250,600000.0,2222222.0,85470.0,68.0,68.0,123.0,44701636.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,222,222円、必要日客数68人が目安。"
カーラビル １F,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055700b417/,34.3399504,134.0514047,49.5万円,495000.0,124.54㎡,124.54,,37.67,13139.0,可,中心街,大型,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41.0,1050,767250.0,2397656.0,92218.0,88.0,88.0,141.0,17894842.0,3,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商2,397,656円、必要日客数88人が目安。"
西村ジョイ屋島店　１階テナント　Ｃ区画 1階,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-680f3150c8d81631e329df64/,34.3603444,134.0966033,51.4272万円,514272.0,515.20㎡,515.2,,155.85,3300.0,確認必要,郊外,大型,店舗系,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,171.0,1250,797122.0,2952302.0,113550.0,91.0,91.0,164.0,102859684.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,952,302円、必要日客数91人が目安。"
ソレイユ第一ビル 202,香川県高松市亀井町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897fe42494105814fab17/,34.3401075,134.0481231,53.96万円,539600.0,324.36㎡,324.36,,98.12,5499.0,可,中心街,大型,不明,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,108.0,1250,836380.0,3097704.0,119142.0,95.0,95.0,172.0,64758476.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,097,704円、必要日客数95人が目安。"
オフィスビルいずみ,香川県高松市上天神町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60743b77298a4d7ba61a7822/,34.3115266,134.0391502,55万円,550000.0,584.00㎡,584.0,,176.66,3113.0,確認必要,準中心街,大型,事務所系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,194.0,1250,852500.0,3157407.0,121439.0,97.0,97.0,175.0,116595604.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,157,407円、必要日客数97人が目安。"
瓦町スクエアビルド ５階,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57aa80db9732ec15a177a0ec/,34.3399504,134.0514047,83.13万円,831300.0,458.03㎡,458.03,,138.55,6000.0,確認必要,中心街,大型,不明,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,152.0,1250,1288515.0,4772278.0,183549.0,147.0,147.0,264.0,91445693.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商4,772,278円、必要日客数147人が目安。"
ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/,34.3412277,134.051584,220万円,2200000.0,"1,038.74㎡",1038.74,,314.22,7001.0,可,中心街,大型,不明,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,346.0,1250,3410000.0,12629630.0,485755.0,389.0,389.0,699.0,207384449.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 1階・路面想定 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商12,629,630円、必要日客数389人が目安。"
西村ジョイ屋島店　２階北 2階,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-673304b1b1a9b138a07f12fd/,34.3603444,134.0966033,262.7571万円,2627571.0,"2,722.96㎡",2722.96,,823.7,3190.0,確認必要,郊外,大型,不明,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,906.0,1250,4072735.0,15084204.0,580162.0,464.0,464.0,835.0,543638984.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商15,084,204円、必要日客数464人が目安。"
高松市 香川町川東下 の貸店舗（一部）,,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-66cd2b560b0aca0019518799/,,,,,,,,,,確認必要,不明,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＹＩビル 201,,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-67711e227a66187f6e7381a5/,,,,,,,,,,確認必要,不明,不明,不明,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ソリッド 4D,,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-66f2a1cb01c9da32355dd689/,,,,,,,,,,確認必要,不明,不明,不明,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
富士ビル 地下１階,,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-6860169eee192602e4d25557/,,,,,,,,,,確認必要,不明,不明,不明,1階・路面想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
プレシャス番町ビル 4F,香川県高松市番町３丁目,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-68db7f1ba22de730730349b5/,34.3423736,134.0417194,15.8 万円,158000.0,86.88㎡,86.88,26.28坪,26.28,6012.0,確認必要,準中心街,中規模,不明,上階・地下想定,不明,準中心街・生活圏型,,要個別検討,26.0,1000,318000.0,908571.0,34945.0,35.0,35.0,52.0,13140000.0,19,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商908,571円、必要日客数35人が目安。"
貸倉庫 新田町倉庫西 1階,香川県高松市新田町甲,植村不動産,https://www.uemura-re.jp/kasi-other/detail-682728ded63cad74d6bc85b5/,,,22 万円,220000.0,154.50㎡,154.5,46.73坪,46.73,4708.0,確認必要,郊外,大型,倉庫・工場系,1階・路面想定,不明,大型投資・高売上必須型,,大型リノベ・複合目的型カフェ,51.0,1300,470000.0,1740741.0,66952.0,52.0,52.0,93.0,32711000.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商1,740,741円、必要日客数52人が目安。"
貸店舗（一部） 西村ジョイ屋島店　２階北 2階,香川県高松市屋島西町,植村不動産,https://www.uemura-re.jp/kasi-tenpo/detail-6807684dece7cc2832b157bb/,34.241395,134.104442,262.7571 万円,2627571.0,"2,722.96㎡",2722.96,823.69坪,823.69,3190.0,確認必要,郊外,大型,店舗系,上階・地下想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,906.0,1250,4072735.0,15084204.0,580162.0,464.0,464.0,835.0,543635400.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商15,084,204円、必要日客数464人が目安。"
貸店舗（一部） ソレイユ第一ビル 202,香川県高松市亀井町,植村不動産,https://www.uemura-re.jp/kasi-tenpo/detail-682727f87ecab2371a64cb05/,34.3400205,134.0501426,53.96 万円,539600.0,324.36㎡,324.36,98.11坪,98.11,5500.0,可,中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,108.0,1250,836380.0,3097704.0,119142.0,95.0,95.0,172.0,64752600.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,097,704円、必要日客数95人が目安。"
貸店舗・事務所(一部) オフィスビルいずみ,香川県高松市上天神町,植村不動産,https://www.uemura-re.jp/kasi-tenpo/detail-684ad53f02f99e0e172ce8c6/,34.2609473,134.034365,55 万円,550000.0,584.00㎡,584.0,176.65坪,176.65,3114.0,確認必要,準中心街,大型,店舗系,不明,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,194.0,1250,852500.0,3157407.0,121439.0,97.0,97.0,175.0,116589000.0,0,D,多客数が必須 / 高売上必須 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商3,157,407円、必要日客数97人が目安。"
貸店舗・事務所(一括) 林町テナント 1階建,香川県高松市林町,植村不動産,https://www.uemura-re.jp/kasi-tenpo/detail-698c049551f1f611e99e316a/,34.2932608,134.0667599,35 万円,350000.0,223.90㎡,223.9,67.72坪,67.72,5168.0,確認必要,郊外,大型,店舗系,1階・路面想定,不明,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,74.0,1250,600000.0,2222222.0,85470.0,68.0,68.0,123.0,44695200.0,0,D,多客数が必須 / 必要月商250万円以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断 / 席数に対する必要回転数は低め,"大型投資・高売上必須型。必要月商2,222,222円、必要日客数68人が目安。"
貸店舗・事務所(一部) 近藤第２ビル 3F,香川県高松市常磐町２丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,34.3375186,134.0511328,2 万円,20000.0,27.25㎡,27.25,8.24坪,8.24,2427.0,可,中心街,極小,店舗系,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,7.0,1600,100000.0,344828.0,13263.0,8.0,8.0,17.0,5150000.0,92,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商344,828円、必要日客数8人が目安。"
貸店舗（一部） ソウゲンビル 5階南,香川県高松市鍛冶屋町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,34.3428604,134.0487343,2.53 万円,25300.0,16.00㎡,16.0,4.83坪,4.83,5238.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,4.0,1400,105300.0,339677.0,13065.0,9.0,9.0,17.0,2849700.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商339,677円、必要日客数9人が目安。"
貸店舗（一部） クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,34.3178937,133.8417036,3.3 万円,33000.0,18.96㎡,18.96,5.73坪,5.73,5759.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,113000.0,364516.0,14020.0,10.0,10.0,18.0,3380700.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商364,516円、必要日客数10人が目安。"
