article_id,name,address,rent_fee,contract_area,detail_url,source_site,物件名_x,賃料_x,面積_x,共益費・管理費_x,所在地_x,アクセス1_x,アクセス2_x,PageUp_x,PageDown_x,物件番号_x,店舗形態_x,オススメ業種_x,物件の状態_x,引越し時期_x,契約形態と期間_x,交通1_x,交通2_x,敷金_x,精算方法_x,備考_x,建物構造_x,建物階建て_x,施工年月_x,募集物件の階数_x,契約面積_x,用途地域_x,水道_x,下水道_x,ガス_x,エレベータ_x,エアコン_x,トイレ_x,給湯室_x,キッチン_x,ネット環境_x,セキュリティ_x,利用時間_x,シャッター_x,照明設備_x,内装業者指定_x,状況_x,駐車料金_x,空き台数_x,取引態様_x,客付_x,床仕様_x,分割利用_x,礼金_x,その他月額費用1_x,敷地面積_x,物件名_y,賃料_y,面積_y,共益費・管理費_y,所在地_y,アクセス1_y,アクセス2_y,PageUp_y,PageDown_y,物件番号_y,店舗形態_y,オススメ業種_y,物件の状態_y,引越し時期_y,契約形態と期間_y,交通1_y,交通2_y,敷金_y,精算方法_y,備考_y,建物構造_y,建物階建て_y,施工年月_y,募集物件の階数_y,契約面積_y,用途地域_y,水道_y,下水道_y,ガス_y,エレベータ_y,エアコン_y,トイレ_y,給湯室_y,キッチン_y,ネット環境_y,セキュリティ_y,利用時間_y,シャッター_y,照明設備_y,内装業者指定_y,状況_y,駐車料金_y,空き台数_y,取引態様_y,客付_y,床仕様_y,分割利用_y,礼金_y,その他月額費用1_y,敷地面積_y,latitude,longitude
2440,ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,"330,000",124.95m<sup>2</sup><br />（37.80坪）,https://www.tenantkagawa.com/article/search/00002440,tenant_kagawa,ガーデンコート高松２Ｆ【大工町】テナント,"330,000円（税込）",124.95m 2 （37.80坪）,-,香川県高松市大工町7--1,ことでん琴平線片原町駅　徒歩5,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4102,店舗,"軽飲食, 重飲食",空き,相談,普通契約期間：2年間,ことでん琴平線片原町駅　徒歩5,-,1ヶ月,実費,■礼金：2ヶ月分■ゴミ回収は各自業者手配■鍵交換費用は別途必要・看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要しかく解約予告：3カ月前,鉄筋コンクリート造,地上5階,1991（平成3）年 04月,地上 2階  ２Ｆ号室,124.95m 2 (37.80坪）,,公営,公共下水,都市ガス,有,有,有/専用,無,有/専用,無,無,24時間,無,有,無,無し,,,媒介,可,CFシート,,2ヶ月,,,ガーデンコート高松２Ｆ【大工町】テナント,"330,000円（税込）",124.95m 2 （37.80坪）,-,香川県高松市大工町7--1,ことでん琴平線片原町駅　徒歩5,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4102,店舗,"軽飲食, 重飲食",空き,相談,普通契約期間：2年間,ことでん琴平線片原町駅　徒歩5,-,1ヶ月,実費,■礼金：2ヶ月分■ゴミ回収は各自業者手配■鍵交換費用は別途必要・看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要しかく解約予告：3カ月前,鉄筋コンクリート造,地上5階,1991（平成3）年 04月,地上 2階  ２Ｆ号室,124.95m 2 (37.80坪）,,公営,公共下水,都市ガス,有,有,有/専用,無,有/専用,無,無,24時間,無,有,無,無し,,,媒介,可,CFシート,,2ヶ月,,,,
2336,オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,"30,000",38.83m<sup>2</sup><br />（11.75坪）,https://www.tenantkagawa.com/article/search/00002336,tenant_kagawa,オーレックス西宝　１Ｆ【西宝町】テナント,"30,000円（税込）",38.83m 2 （11.75坪）,-,香川県高松市西宝町1--16-26,JR高徳線昭和町駅　徒歩7,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,3193,"店舗,","事務所, 塾・学校・教育関係, 美容関係",空き,即,普通契約期間：2年間,JR高徳線昭和町駅　徒歩7,-,,実費,■共益費・水道料込■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要■賃料3ヶ月フリーレント(但し違約金設定有り),鉄筋コンクリート造,地上5階,1996（平成8）年 03月,地上 1階  1号室,38.83m 2 (11.75坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,,有/専用,,無,,無,有,無,無し,,,媒介,可,タイルカーペット,,1ヶ月,,,オーレックス西宝　１Ｆ【西宝町】テナント,"30,000円（税込）",38.83m 2 （11.75坪）,-,香川県高松市西宝町1--16-26,JR高徳線昭和町駅　徒歩7,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,3193,"店舗,","事務所, 塾・学校・教育関係, 美容関係",空き,即,普通契約期間：2年間,JR高徳線昭和町駅　徒歩7,-,,実費,■共益費・水道料込■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要■賃料3ヶ月フリーレント(但し違約金設定有り),鉄筋コンクリート造,地上5階,1996（平成8）年 03月,地上 1階  1号室,38.83m 2 (11.75坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,,有/専用,,無,,無,有,無,無し,,,媒介,可,タイルカーペット,,1ヶ月,,,,
2345,岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,"66,000",28.12m<sup>2</sup><br />（8.51坪）,https://www.tenantkagawa.com/article/search/00002345,tenant_kagawa,岡ビル１Ｆ【瓦町１丁目】テナント,"66,000円（税込）",28.12m 2 （8.51坪）,-,香川県高松市瓦町1--１３-１０,ことでん琴平線瓦町駅　徒歩3,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,2097,"店舗, 路面店舗,","美容関係, 物販関係, サービス業",入居中,即,普通契約期間：2年間,ことでん琴平線瓦町駅　徒歩3,-,3ヶ月,実費,,鉄骨造,地上5階,1989（平成元年）年 04月,地上 1階  １号室,28.12m 2 (8.51坪）,,公営,公共下水,都市ガス,無,無,有/専用,無,無,無,無,24時間,無,無,無,無し,,,媒介,可,,可,,,,岡ビル１Ｆ【瓦町１丁目】テナント,"66,000円（税込）",28.12m 2 （8.51坪）,-,香川県高松市瓦町1--１３-１０,ことでん琴平線瓦町駅　徒歩3,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,2097,"店舗, 路面店舗,","美容関係, 物販関係, サービス業",入居中,即,普通契約期間：2年間,ことでん琴平線瓦町駅　徒歩3,-,3ヶ月,実費,,鉄骨造,地上5階,1989（平成元年）年 04月,地上 1階  １号室,28.12m 2 (8.51坪）,,公営,公共下水,都市ガス,無,無,有/専用,無,無,無,無,24時間,無,無,無,無し,,,媒介,可,,可,,,,,
2006,高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,"55,000",37.13m<sup>2</sup><br />（11.23坪）,https://www.tenantkagawa.com/article/search/00002006,tenant_kagawa,高橋ビル２Ｆ【松福町】テナント,"55,000円（税込）",37.13m 2 （11.23坪）,"4,400円（税込）",香川県高松市松福町2-11-18,ことでん志度線松島二丁目駅　徒歩4,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,2073,店舗,"塾・学校・教育関係, 物販関係, 軽飲食, サービス業",空き,即,普通契約期間：2年間,ことでん志度線松島二丁目駅　徒歩4,-,5ヶ月,,■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■仲介手数料：賃料1ヶ月,鉄筋コンクリート造,地上4階,1979（昭和54）年,地上 2階  2号室,37.13m 2 (11.23坪）,準工業,公営,公共下水,,無,,有/専用,,有/専用,,,,有/自動,有,無,無し,,,媒介,可,CFシート,,,,,高橋ビル２Ｆ【松福町】テナント,"55,000円（税込）",37.13m 2 （11.23坪）,"4,400円（税込）",香川県高松市松福町2-11-18,ことでん志度線松島二丁目駅　徒歩4,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,2073,店舗,"塾・学校・教育関係, 物販関係, 軽飲食, サービス業",空き,即,普通契約期間：2年間,ことでん志度線松島二丁目駅　徒歩4,-,5ヶ月,,■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■仲介手数料：賃料1ヶ月,鉄筋コンクリート造,地上4階,1979（昭和54）年,地上 2階  2号室,37.13m 2 (11.23坪）,準工業,公営,公共下水,,無,,有/専用,,有/専用,,,,有/自動,有,無,無し,,,媒介,可,CFシート,,,,,,
2633,新田借地【新田町】,高松市新田町甲-573-6,"165,000",830m<sup>2</sup><br />（251.08坪）,https://www.tenantkagawa.com/article/search/00002633,tenant_kagawa,新田借地【新田町】,"165,000円（税込）",830m 2 （251.08坪）,-,香川県高松市新田町甲-573-6,JR高徳線屋島駅　徒歩22,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4478,"路面店舗, ロードサイド, 貸し土地","物販関係, 軽飲食, ショールーム, 倉庫",空き,即,普通契約期間：2年間 定期契約期間：10年間再契約：不可,JR高徳線屋島駅　徒歩22,-,3ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■開発許可申請必要■南側セットバック必要■特定用途制限地域（幹線沿道Ⅰ型）■敷地内北西既設看板有り撤去必要■敷地内南西電柱有り",その他,,,地上 借地号室,830m 2 (251.08坪）,指定無,,,,,,,,,,,,無,無,無,空有無料,,,媒介,可,,,,,,新田借地【新田町】,"165,000円（税込）",830m 2 （251.08坪）,-,香川県高松市新田町甲-573-6,JR高徳線屋島駅　徒歩22,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4478,"路面店舗, ロードサイド, 貸し土地","物販関係, 軽飲食, ショールーム, 倉庫",空き,即,普通契約期間：2年間 定期契約期間：10年間再契約：不可,JR高徳線屋島駅　徒歩22,-,3ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■開発許可申請必要■南側セットバック必要■特定用途制限地域（幹線沿道Ⅰ型）■敷地内北西既設看板有り撤去必要■敷地内南西電柱有り",その他,,,地上 借地号室,830m 2 (251.08坪）,指定無,,,,,,,,,,,,無,無,無,空有無料,,,媒介,可,,,,,,,
2600,ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,"49,500",60.04m<sup>2</sup><br />（18.16坪）,https://www.tenantkagawa.com/article/search/00002600,tenant_kagawa,ウッドネスト香西テナント101号室【香西北町】,"49,500円（税込）",60.04m 2 （18.16坪）,"2,200円（税込）",香川県高松市香西北町79-10,JR予讃線鬼無駅　徒歩35,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4394,"ロードサイド, 事務所","塾・学校・教育関係, 美容関係, 物販関係, サービス業",空き,2025（令和7）年04月上旬,普通契約期間：2年間,JR予讃線鬼無駅　徒歩35,-,2ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上3階,1990（平成2）年 04月,地上 1階  1棟貸号室,60.04m 2 (18.16坪）,1種住居,公営,浄化槽,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,無,無,無,空有,"3,300円（税込）",1台,媒介,可,タイルカーペット,,,"水道料  2,750円（税込）",,ウッドネスト香西テナント101号室【香西北町】,"49,500円（税込）",60.04m 2 （18.16坪）,"2,200円（税込）",香川県高松市香西北町79-10,JR予讃線鬼無駅　徒歩35,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4394,"ロードサイド, 事務所","塾・学校・教育関係, 美容関係, 物販関係, サービス業",空き,2025（令和7）年04月上旬,普通契約期間：2年間,JR予讃線鬼無駅　徒歩35,-,2ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上3階,1990（平成2）年 04月,地上 1階  1棟貸号室,60.04m 2 (18.16坪）,1種住居,公営,浄化槽,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,無,無,無,空有,"3,300円（税込）",1台,媒介,可,タイルカーペット,,,"水道料  2,750円（税込）",,,
2594,チェリータウン103【桜町】テナント,高松市桜町2-15-46,"49,500",48.58m<sup>2</sup><br />（14.70坪）,https://www.tenantkagawa.com/article/search/00002594,tenant_kagawa,チェリータウン103【桜町】テナント,"49,500円（税込）",48.58m 2 （14.70坪）,-,香川県高松市桜町2-15-46,ことでん琴平線栗林公園駅　徒歩7,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,3612,"事務所, 店舗","事務所, 塾・学校・教育関係",入居中,相談,普通,ことでん琴平線栗林公園駅　徒歩7,-,3ヶ月,,■駐車場については要確認■ｺﾞﾐ回収各自業者手配■看板、ｻｲﾝ工事借主負担■仲介手数料：賃料1ヶ月,鉄骨造,地上6階,1988（昭和63）年 02月,地上 1階  103号室,48.58m 2 (14.70坪）,商業地域,公営,公共下水,オール電化,有,有,有/共用,有/共用,有/共用,,,,無,,有,空有,"7,700円（税込）",,,可,,可,,,,チェリータウン103【桜町】テナント,"49,500円（税込）",48.58m 2 （14.70坪）,-,香川県高松市桜町2-15-46,ことでん琴平線栗林公園駅　徒歩7,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,3612,"事務所, 店舗","事務所, 塾・学校・教育関係",入居中,相談,普通,ことでん琴平線栗林公園駅　徒歩7,-,3ヶ月,,■駐車場については要確認■ｺﾞﾐ回収各自業者手配■看板、ｻｲﾝ工事借主負担■仲介手数料：賃料1ヶ月,鉄骨造,地上6階,1988（昭和63）年 02月,地上 1階  103号室,48.58m 2 (14.70坪）,商業地域,公営,公共下水,オール電化,有,有,有/共用,有/共用,有/共用,,,,無,,有,空有,"7,700円（税込）",,,可,,可,,,,,
2548,ＭＮ店舗1Ｆ【香川町川東】,高松市香川町川東上1764番地,"121,000",168m<sup>2</sup><br />（50.82坪）,https://www.tenantkagawa.com/article/search/00002548,tenant_kagawa,ＭＮ店舗1Ｆ【香川町川東】,"121,000円（税込）",168m 2 （50.82坪）,-,香川県高松市香川町川東上1764番地,ことでん琴平線空港通り駅　徒歩57,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4330,"店舗（飲食店可）, 店舗, 路面店舗,","物販関係, 軽飲食, 重飲食, サービス業",空き,即,普通契約期間：2年間,ことでん琴平線空港通り駅　徒歩57,-,5ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上2階,1994（平成6）年 12月,地上 1階  1Ｆ号室号室,168m 2 (50.82坪）,商業地域,公営,,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,有/自動,有,無,空有無料,,6台,媒介,可,CFシート,,,,,ＭＮ店舗1Ｆ【香川町川東】,"121,000円（税込）",168m 2 （50.82坪）,-,香川県高松市香川町川東上1764番地,ことでん琴平線空港通り駅　徒歩57,-,ビューを 75% 上へ移動,ビューを 75% 下へ移動,4330,"店舗（飲食店可）, 店舗, 路面店舗,","物販関係, 軽飲食, 重飲食, サービス業",空き,即,普通契約期間：2年間,ことでん琴平線空港通り駅　徒歩57,-,5ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上2階,1994（平成6）年 12月,地上 1階  1Ｆ号室号室,168m 2 (50.82坪）,商業地域,公営,,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,有/自動,有,無,空有無料,,6台,媒介,可,CFシート,,,,,,
