article_id,name,address,rent_fee,contract_area,detail_url,source_site
00002636,西高松第2メディカルビル,高松市郷東町-148-3,"550,000",226m<sup>2</sup><br />（68.37坪）,https://www.tenantkagawa.com/article/search/00002636,tenant_kagawa
00002638,ISB店舗1F【今里町】,高松市今里町-2-11-2,"275,000",92.24m<sup>2</sup><br />（27.90坪）,https://www.tenantkagawa.com/article/search/00002638,tenant_kagawa
00002641,大山テナントビル【中央町】1F,高松市中央町-4-17,"126,500",65m<sup>2</sup><br />（19.66坪）,https://www.tenantkagawa.com/article/search/00002641,tenant_kagawa
00002642,西山崎貸事務所付き倉庫,高松市西山崎町-892-1,"225,000",246.59m<sup>2</sup><br />（74.59坪）,https://www.tenantkagawa.com/article/search/00002642,tenant_kagawa
00002643,ドミール松縄西号【今里町】レインボーエリアテナント,高松市今里町2丁目-30-17,"86,700",39m<sup>2</sup><br />（11.80坪）,https://www.tenantkagawa.com/article/search/00002643,tenant_kagawa
00002645,サニープレイス松縄１０２号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,"198,000",67.72m<sup>2</sup><br />（20.49坪）,https://www.tenantkagawa.com/article/search/00002645,tenant_kagawa
00002646,久保木工店舗【檀紙町】テナント,高松市檀紙町-851-6,"330,000",343m<sup>2</sup><br />（103.76坪）,https://www.tenantkagawa.com/article/search/00002646,tenant_kagawa
00002378,大住ビル１Ｆ【田町】商店街テナント,高松市田町-5-7,"99,000",77.92m<sup>2</sup><br />（23.57坪）,https://www.tenantkagawa.com/article/search/00002378,tenant_kagawa
00002440,ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,"330,000",124.95m<sup>2</sup><br />（37.80坪）,https://www.tenantkagawa.com/article/search/00002440,tenant_kagawa
00002238,サニープレイス松縄１０３号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,"198,000",67.72m<sup>2</sup><br />（20.49坪）,https://www.tenantkagawa.com/article/search/00002238,tenant_kagawa
00002327,ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,高松市香西南町-４７２,"200,000",85.74m<sup>2</sup><br />（25.94坪）,https://www.tenantkagawa.com/article/search/00002327,tenant_kagawa
00002336,オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,"30,000",38.83m<sup>2</sup><br />（11.75坪）,https://www.tenantkagawa.com/article/search/00002336,tenant_kagawa
00002345,岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,"66,000",28.12m<sup>2</sup><br />（8.51坪）,https://www.tenantkagawa.com/article/search/00002345,tenant_kagawa
00002101,丸協ビル２Ｆ【今里町】レインボーエリアテナント,高松市今里町2-29-21,"286,000",175.31m<sup>2</sup><br />（53.03坪）,https://www.tenantkagawa.com/article/search/00002101,tenant_kagawa
00002614,ＳＹＫ店舗【伏石町】テナント,高松市伏石町-2166-10,"450,000",397.86m<sup>2</sup><br />（120.35坪）,https://www.tenantkagawa.com/article/search/00002614,tenant_kagawa
00002006,高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,"55,000",37.13m<sup>2</sup><br />（11.23坪）,https://www.tenantkagawa.com/article/search/00002006,tenant_kagawa
00002046,扇町メゾネット【扇町】タウンハウステナント,高松市扇町1丁目-1-7,"74,800",68.25m<sup>2</sup><br />（20.65坪）,https://www.tenantkagawa.com/article/search/00002046,tenant_kagawa
00001904,橋本ビル１Ｆ【木太町】レインボーエリアテナント,高松市木太町-１１３０-１,"132,000",49.63m<sup>2</sup><br />（15.01坪）,https://www.tenantkagawa.com/article/search/00001904,tenant_kagawa
00001918,ラフォーレナミキ南店１Ｆ北【香西南町】テナント,高松市香西南町-４７２,"242,000",210.80m<sup>2</sup><br />（63.77坪）,https://www.tenantkagawa.com/article/search/00001918,tenant_kagawa
00002619,ＹＨ店舗1棟貸【国分寺町新居】,高松市国分寺町新居-1340-1,"440,000",374.04m<sup>2</sup><br />（113.15坪）,https://www.tenantkagawa.com/article/search/00002619,tenant_kagawa
00002622,川田ビル【香西東町】,高松市香西東町-329-11,"165,000",80m<sup>2</sup><br />（24.20坪）,https://www.tenantkagawa.com/article/search/00002622,tenant_kagawa
00002627,二ツ橋ビル201,高松市上之町1丁目-13-18,"99,000",46.77m<sup>2</sup><br />（14.15坪）,https://www.tenantkagawa.com/article/search/00002627,tenant_kagawa
00002629,二ツ橋ビル202,高松市上之町1丁目-13-18,"44,000",28.88m<sup>2</sup><br />（8.74坪）,https://www.tenantkagawa.com/article/search/00002629,tenant_kagawa
00002633,新田借地【新田町】,高松市新田町甲-573-6,"165,000",830m<sup>2</sup><br />（251.08坪）,https://www.tenantkagawa.com/article/search/00002633,tenant_kagawa
00002600,ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,"49,500",60.04m<sup>2</sup><br />（18.16坪）,https://www.tenantkagawa.com/article/search/00002600,tenant_kagawa
00002602,one apartment店舗102号【新北町】,高松市新北町-13-11,"110,000",52m<sup>2</sup><br />（15.73坪）,https://www.tenantkagawa.com/article/search/00002602,tenant_kagawa
00002609,ＧＭ戸建【飯田町】,高松市飯田町-18-1,"165,000",196.70m<sup>2</sup><br />（59.50坪）,https://www.tenantkagawa.com/article/search/00002609,tenant_kagawa
00002611,ＳＫ店舗【屋島西町】,高松市屋島西町-1483-1,"231,000",108.57m<sup>2</sup><br />（32.84坪）,https://www.tenantkagawa.com/article/search/00002611,tenant_kagawa
00002594,チェリータウン103【桜町】テナント,高松市桜町2-15-46,"49,500",48.58m<sup>2</sup><br />（14.70坪）,https://www.tenantkagawa.com/article/search/00002594,tenant_kagawa
00002574,ＳＺ店舗1棟貸【国分寺町福家】,高松市国分寺町福家-3871-8,"160,000",130.53m<sup>2</sup><br />（39.49坪）,https://www.tenantkagawa.com/article/search/00002574,tenant_kagawa
00002560,エトワールビル1F【常磐町】,高松市常盤町1丁目-6-2,"330,000",109.81m<sup>2</sup><br />（33.22坪）,https://www.tenantkagawa.com/article/search/00002560,tenant_kagawa
00002548,ＭＮ店舗1Ｆ【香川町川東】,高松市香川町川東上1764番地,"121,000",168m<sup>2</sup><br />（50.82坪）,https://www.tenantkagawa.com/article/search/00002548,tenant_kagawa
00002532,ルヴァン店舗1棟貸【高松町】,高松市高松町-466-1,"270,000",121.41m<sup>2</sup><br />（36.73坪）,https://www.tenantkagawa.com/article/search/00002532,tenant_kagawa
00002519,ＲＩ事務所【香西本町】,高松市香西本町-365-1,"330,000",326.71m<sup>2</sup><br />（98.83坪）,https://www.tenantkagawa.com/article/search/00002519,tenant_kagawa
00002511,ラフォーレナミキ1Ｆ南東号【香西南町】,高松市香西南町-472,"121,000",94.01m<sup>2</sup><br />（28.44坪）,https://www.tenantkagawa.com/article/search/00002511,tenant_kagawa
00002381,山下店舗【上之町】,高松市上之町3--9-40,"50,000",39.89m<sup>2</sup><br />（12.07坪）,https://www.tenantkagawa.com/article/search/00002381,tenant_kagawa
00002366,内外テナント1階【国分寺町福家】,高松市国分寺町福家甲823--3,"300,000",108.27m<sup>2</sup><br />（32.75坪）,https://www.tenantkagawa.com/article/search/00002366,tenant_kagawa
00002247,三谷倉庫付事務所１棟貸【木太町】,高松市木太町-3173-18,"80,000",104.34m<sup>2</sup><br />（31.56坪）,https://www.tenantkagawa.com/article/search/00002247,tenant_kagawa
00002263,阿部ビル101号【瓦町】,高松市瓦町2--8-8,"55,000",25.92m<sup>2</sup><br />（7.84坪）,https://www.tenantkagawa.com/article/search/00002263,tenant_kagawa
00002264,阿部ビル201号【瓦町】,高松市瓦町2--8-8,"55,000",25.92m<sup>2</sup><br />（7.84坪）,https://www.tenantkagawa.com/article/search/00002264,tenant_kagawa
00002275,アイアイビル1，2F【南新町】,高松市南新町5--3,"660,000",352.16m<sup>2</sup><br />（106.53坪）,https://www.tenantkagawa.com/article/search/00002275,tenant_kagawa
00002282,あかねビル１棟貸【茜町】,高松市茜町19--12,"777,128",691.36m<sup>2</sup><br />（209.14坪）,https://www.tenantkagawa.com/article/search/00002282,tenant_kagawa
00002286,オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,"330,000",180.87m<sup>2</sup><br />（54.71坪）,https://www.tenantkagawa.com/article/search/00002286,tenant_kagawa
00002287,オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,"220,000",207.89m<sup>2</sup><br />（62.89坪）,https://www.tenantkagawa.com/article/search/00002287,tenant_kagawa
00002288,オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,"165,000",209.99m<sup>2</sup><br />（63.52坪）,https://www.tenantkagawa.com/article/search/00002288,tenant_kagawa
00002151,Sunriseせきもと１F【中央町】,高松市中央町15-15,"50,000",46.53m<sup>2</sup><br />（14.08坪）,https://www.tenantkagawa.com/article/search/00002151,tenant_kagawa
00002223,オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,"550,000",584m<sup>2</sup><br />（176.66坪）,https://www.tenantkagawa.com/article/search/00002223,tenant_kagawa
00002253,Crest Court K2　1-Ａ【伏石町】,高松市伏石町-2152-4,"319,000",134.54m<sup>2</sup><br />（40.70坪）,https://www.tenantkagawa.com/article/search/00002253,tenant_kagawa
00001566,プリンス三条テナント【三条町】,高松市三条町-474-1,"88,000",71.33m<sup>2</sup><br />（21.58坪）,https://www.tenantkagawa.com/article/search/00001566,tenant_kagawa
